,MSZoning,LotArea,Street,Has_Alley,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,HeatingQC,GrLivArea,BedroomAbvGr,GarageCars,SaleCondition,has_fence,pool,SalePrice
159,RL,19378,1,0,1Fam,2Story,good,average,2005,Ex,2462,4,2,Partial,0,0,320000
160,RL,11120,1,0,1Fam,1Story,average,average,1984,TA,1232,3,2,Normal,0,0,162500
161,RL,13688,1,0,1Fam,2Story,good,average,2003,Ex,2668,3,3,Normal,0,0,412500
162,RL,12182,1,0,1Fam,1Story,good,average,2005,Ex,1541,3,2,Partial,0,0,220000
163,RL,5500,1,0,1Fam,1.5Unf,average,average,1956,Ex,882,1,0,Normal,1,0,103200
164,RM,5400,1,1,1Fam,1Story,average,good,1926,Gd,1616,3,1,Normal,0,0,152000
165,RL,10106,1,0,2fmCon,1.5Fin,average,good,1940,Gd,1355,4,0,Normal,0,0,127500
166,RL,10708,1,0,1Fam,1Story,average,average,1955,Ex,1867,2,1,Normal,1,0,190000
167,RL,10562,1,0,1Fam,2Story,good,average,2007,Ex,2161,3,3,Partial,0,0,325624
168,RL,8244,1,0,1Fam,2Story,good,average,2004,Ex,1720,3,2,Normal,0,0,183500
169,RL,16669,1,0,1Fam,1Story,good,average,1981,TA,1707,2,2,Normal,0,0,228000
170,RM,12358,1,0,1Fam,1.5Fin,average,average,1941,TA,1382,2,2,Normal,0,0,128500
171,RL,31770,1,0,1Fam,1Story,average,average,1960,Fa,1656,3,2,Normal,0,0,215000
172,RL,5306,1,0,TwnhsE,2Story,good,good,1987,Gd,1767,2,2,Normal,0,0,239000
173,RL,10197,1,0,1Fam,1Story,average,average,1961,TA,1362,3,2,Normal,0,0,163000
174,RL,12416,1,0,1Fam,1Story,average,average,1986,TA,1651,3,2,Normal,0,0,184000
175,RL,12615,1,0,1Fam,1Story,average,good,1950,TA,2158,4,2,Normal,1,0,243000
176,RL,10029,1,0,1Fam,2Story,average,average,1988,TA,2060,4,2,Normal,0,0,211000
177,RL,13650,1,0,1Fam,1.5Fin,average,average,1958,Ex,1920,4,2,Normal,0,0,172500
178,RL,17423,1,0,1Fam,1Story,good,average,2008,Ex,2234,1,3,Partial,0,0,501837
179,RM,8520,1,0,1Fam,1Story,average,average,1923,TA,968,2,2,Normal,0,0,100000
180,FV,2117,1,0,Twnhs,2Story,average,average,2000,Ex,1525,3,2,Normal,0,0,177000
181,RL,7588,1,0,1Fam,2Story,good,average,1920,Gd,1802,4,1,Normal,0,0,200100
182,RL,9060,1,0,1Fam,1Story,average,average,1957,Ex,1340,3,1,Normal,1,0,120000
183,RM,11426,1,0,1Fam,1.5Fin,good,average,2003,Ex,2082,3,2,Normal,0,0,200000
184,RL,7438,1,0,1Fam,1.5Fin,average,good,1908,Gd,1252,3,2,Normal,1,0,127000
185,RM,22950,1,0,1Fam,2.5Fin,good,good,1892,Ex,3608,4,3,Normal,1,0,475000
186,RL,9947,1,0,1Fam,SLvl,good,average,1990,Ex,1217,3,2,Normal,1,0,173000
187,RL,10410,1,0,1Fam,1.5Fin,average,good,1916,Ex,1656,3,1,Normal,1,0,135000
188,RL,7018,1,0,Duplex,SFoyer,average,average,1979,TA,1224,2,2,Alloca,0,0,153337
189,RL,4923,1,0,TwnhsE,1Story,good,average,2001,Ex,1593,0,2,Normal,0,0,286000
190,RL,10570,1,0,1Fam,2Story,good,good,1932,TA,2727,3,2,Normal,0,0,315000
191,RL,7472,1,0,1Fam,2Story,good,good,1972,Gd,1479,4,2,Normal,0,0,184000
192,RL,9017,1,0,1Fam,1Story,good,average,1999,Ex,1431,3,2,Normal,0,0,192000
193,RM,2522,1,0,Twnhs,2Story,good,average,2004,Ex,1709,3,2,Normal,0,0,130000
194,RL,7180,1,0,1Fam,1Story,average,good,1972,TA,864,3,1,Normal,0,0,127000
195,RL,2280,1,0,Twnhs,2Story,average,average,1976,TA,1456,3,2,Normal,0,0,148500
196,RL,9416,1,0,1Fam,1Story,good,average,2007,Ex,1726,3,3,Partial,0,0,311872
197,RL,25419,1,0,1Fam,2Story,good,average,1918,Gd,3112,4,2,Abnorml,1,1,235000
198,RM,5520,1,0,1Fam,2.5Fin,average,average,1912,Ex,2229,5,0,Abnorml,1,0,104000
199,RL,9591,1,0,1Fam,1Story,good,average,2004,Ex,1713,3,3,Normal,0,0,274900
200,RM,8546,1,0,1Fam,1Story,average,average,2003,Ex,1121,2,2,Normal,0,0,140000
201,RL,10125,1,0,1Fam,1Story,average,average,1977,TA,1279,3,2,Normal,1,0,171500
202,RL,7000,1,0,1Fam,1.5Fin,average,average,1924,Gd,1310,2,1,Normal,0,0,112000
203,RM,4438,1,0,TwnhsE,1Story,average,average,2004,Ex,848,1,2,Normal,0,0,149000
204,RM,3500,1,1,1Fam,1.5Fin,average,good,1947,TA,1284,2,1,Normal,1,0,110000
205,RL,11851,1,0,1Fam,1Story,good,average,1990,Ex,1442,3,2,Normal,0,0,180500
206,RL,13673,1,0,1Fam,1Story,average,average,1962,TA,1696,3,1,Normal,0,0,143900
207,RL,12493,1,0,1Fam,1Story,average,average,1960,TA,1100,3,1,Normal,1,0,141000
208,RL,14364,1,0,1Fam,2Story,good,average,1988,Ex,2062,3,2,Normal,0,0,277000
209,RL,8250,1,0,1Fam,1Story,average,good,1964,Ex,1092,3,2,Normal,1,0,145000
210,RL,5604,1,0,1Fam,1Story,average,average,1925,TA,864,2,0,Normal,0,0,98000
211,RL,10420,1,0,1Fam,1Story,average,average,2009,Ex,1212,3,2,Normal,0,0,186000
212,FV,8640,1,0,1Fam,2Story,good,average,2009,Ex,1852,3,2,Partial,0,0,252678
213,RL,13568,1,0,1Fam,1Story,average,average,1995,Ex,990,3,2,Normal,0,0,156000
214,RL,10900,1,0,1Fam,2Story,average,good,1977,Ex,1392,3,1,Normal,1,0,161750
215,RL,10011,1,0,1Fam,1Story,average,average,1957,TA,1236,2,1,Normal,1,0,134450
216,RL,8450,1,0,1Fam,1Story,good,average,2004,Ex,1436,3,2,Normal,0,0,210000
217,RM,9906,1,1,1Fam,2Story,average,average,1925,Fa,1328,3,1,Family,0,0,107000
218,RL,15660,1,0,1Fam,1.5Fin,good,good,1939,Ex,1954,3,2,Normal,0,0,311500
219,RL,3010,1,0,TwnhsE,1Story,good,average,2005,Ex,1248,2,2,Partial,0,0,167240
220,RL,8990,1,0,1Fam,1Story,good,average,2006,Ex,1498,2,2,Partial,0,0,204900
221,RL,8068,1,0,1Fam,2Story,average,average,2002,Ex,2267,4,2,Normal,0,0,200000
222,RL,11475,1,0,1Fam,2Story,average,average,1975,TA,1552,3,2,Normal,1,0,179900
223,RL,10500,1,0,1Fam,1Story,average,average,1971,Gd,864,2,2,Abnorml,0,0,97000
224,RL,13472,1,0,1Fam,1Story,good,average,2003,Ex,2392,3,3,Normal,0,0,386250
225,RM,1680,1,0,Twnhs,2Story,average,average,1971,TA,1302,3,1,Abnorml,0,0,112000
226,RL,9950,1,0,1Fam,2Story,good,average,1995,Ex,2520,4,3,Abnorml,0,0,290000
227,RM,1869,1,0,Twnhs,2Story,average,average,1970,TA,987,2,1,Normal,0,0,106000
228,RL,8521,1,0,1Fam,1Story,average,average,1967,TA,912,3,1,Normal,1,0,125000
229,RL,3182,1,0,TwnhsE,1Story,good,average,2005,Ex,1555,2,2,Normal,0,0,192500
230,RL,8760,1,0,1Fam,1Story,average,average,1959,TA,1194,3,1,Normal,0,0,148000
231,RL,15138,1,0,1Fam,2Story,good,average,1995,Ex,2794,4,3,Normal,0,0,403000
232,RM,1680,1,0,Twnhs,2Story,average,average,1972,TA,987,2,1,Normal,0,0,94500
233,RL,10650,1,0,1Fam,1Story,average,average,1976,TA,894,3,1,Normal,1,0,128200
234,RL,7851,1,0,1Fam,2Story,average,average,2002,Ex,1960,4,2,Normal,0,0,216500
235,RM,1680,1,0,TwnhsE,2Story,average,bad,1971,TA,987,2,1,Normal,0,0,89500
236,RL,8773,1,0,1Fam,1Story,good,average,2004,Ex,1414,3,2,Normal,0,0,185500
237,RL,9453,1,0,1Fam,2Story,good,good,1993,Ex,1744,3,2,Normal,0,0,194500
238,RL,12030,1,0,1Fam,1Story,good,average,2007,Ex,1694,3,3,Partial,0,0,318000
239,RL,8741,1,0,1Fam,1.5Fin,average,average,1945,TA,1487,3,1,Normal,1,0,113000
240,FV,9000,1,0,1Fam,1Story,good,average,2008,Ex,1566,3,2,Normal,0,0,262500
241,RM,3880,1,0,1Fam,1Story,average,good,1945,Gd,866,2,0,Normal,0,0,110500
242,RM,5000,1,0,1Fam,1.5Fin,average,average,1900,Gd,1440,3,1,Normal,0,0,79000
243,RL,10762,1,0,TwnhsE,2Story,average,average,1980,TA,1217,3,1,Normal,0,0,120000
244,RL,8880,1,0,1Fam,2Story,good,average,1994,Ex,2110,3,2,Normal,0,0,205000
245,RL,10400,1,0,1Fam,1Story,good,average,1988,Gd,1872,3,2,Normal,0,0,241500
246,RM,9142,1,1,2fmCon,2Story,average,good,1910,Gd,1928,4,1,Normal,0,0,137000
247,RL,11310,1,0,1Fam,1Story,average,average,1954,Ex,1375,2,2,Normal,0,0,140000
248,RL,11317,1,0,1Fam,2Story,good,average,2003,Ex,1668,3,2,Normal,0,0,180000
249,RL,159000,1,0,1Fam,1.5Fin,average,good,1958,Gd,2144,4,2,Normal,0,0,277000
250,RL,5350,1,0,1Fam,1Story,bad,bad,1940,Ex,1306,3,0,Normal,1,0,76500
251,RM,4750,1,0,TwnhsE,1Story,good,average,2006,Ex,1625,2,2,Family,0,0,235000
252,RL,8366,1,0,1Fam,2Story,average,average,2004,Ex,1640,3,2,Normal,0,0,173000
253,RL,9350,1,0,1Fam,SLvl,average,good,1964,Ex,1302,3,1,Normal,1,0,158000
254,RL,8400,1,0,1Fam,1Story,average,average,1957,TA,1314,3,1,Normal,0,0,145000
255,RL,8738,1,0,1Fam,2Story,good,average,1999,Ex,2291,4,2,Normal,0,0,230000
256,FV,8791,1,0,1Fam,2Story,average,average,2003,Ex,1728,3,2,Normal,0,0,207500
257,RL,8814,1,0,1Fam,1Story,good,average,2006,Ex,1604,3,2,Abnorml,0,0,220000
258,RL,12435,1,0,1Fam,2Story,good,average,2001,Ex,1792,3,2,Normal,0,0,231500
259,RM,12702,1,0,1Fam,1Story,average,average,1956,Gd,882,2,1,Normal,0,0,97000
260,RL,19296,1,0,1Fam,SLvl,average,average,1962,TA,1382,3,2,Normal,1,0,176000
261,RL,9588,1,0,1Fam,2Story,good,average,2007,Ex,2574,3,3,Partial,0,0,276000
262,RL,8471,1,0,1Fam,SLvl,average,good,1977,TA,1212,3,2,Normal,1,0,151000
263,RM,5500,1,0,1Fam,1.5Fin,average,good,1929,TA,1316,3,2,Normal,0,0,130000
264,RM,5232,1,1,1Fam,1Story,average,average,1925,Gd,764,2,2,Normal,0,0,73000
265,RL,12090,1,0,1Fam,1Story,average,average,1981,TA,1422,3,2,Normal,1,0,175500
266,RL,11207,1,0,1Fam,2Story,average,average,1997,Gd,1511,3,2,Normal,0,0,185000
267,RL,8400,1,0,1Fam,2.5Fin,average,good,1939,Ex,2192,4,1,Normal,0,0,179500
268,RM,6900,1,0,1Fam,1Story,average,average,1940,Ex,778,2,1,Normal,0,0,120500
269,RL,7917,1,0,1Fam,1Story,average,good,1976,TA,1113,3,1,Normal,1,0,148000
270,FV,10728,1,0,1Fam,2Story,good,average,2006,Gd,1939,3,3,Partial,0,0,266000
271,RL,39104,1,0,1Fam,1Story,good,good,1954,Ex,1363,2,2,Normal,0,0,241500
272,RL,11764,1,0,1Fam,2Story,good,good,1999,Ex,2270,4,3,Normal,0,0,290000
